561095.65 623453.73 36.8
561098.83 621260.82 37.7
561099.62 621408.29 36.8
561099.58 622121.48 36.7
561100.60 623080.47 37.6
561099.32 623128.37 37.5
561101.59 622361.05 37.4
561101.85 622529.68 38.4
561102.41 622702.32 37.8
561103.46 622862.19 37.5
561106.61 621134.96 37.9
561104.67 621730.63 38.8
561105.95 622830.66 37.8
561105.29 623044.44 37.4
561109.03 621377.78 37.7
561108.21 621611.44 37.7
561109.23 621642.67 38.5
561108.57 621802.88 39.0
561107.03 622296.77 37.5
561109.07 622330.73 37.2
561106.87 622409.40 37.9
561111.63 621347.79 37.6
561111.82 621948.78 38.6
561110.90 622987.36 37.5
561114.71 619957.38 48.0
561114.81 621477.48 37.6
561112.94 622953.40 37.4
561115.17 623317.31 36.4
561112.87 623393.10 36.1
561114.38 623511.31 36.5
561117.92 620855.77 36.7
561117.37 621069.91 37.2
561117.37 621105.93 37.0
561116.42 621286.93 38.0
561118.48 621527.02 38.3
561117.66 621699.04 38.5
561118.48 621831.35 39.2
561117.63 622086.54 37.5
561115.96 622601.79 38.3
561118.42 623219.15 36.0
561116.19 623255.01 36.1
561118.55 623361.34 36.0
561118.02 623476.63 36.1
561119.56 620920.63 36.5
561121.60 621016.07 37.4
561121.40 621205.83 38.1
561121.57 621430.96 38.2
561119.63 621978.63 38.1
561121.11 622008.65 37.7
561120.84 622653.17 38.1
561119.89 622911.31 37.1
561122.45 620886.57 36.9
561124.72 621586.28 38.2
561124.68 621861.08 39.5
561124.26 622481.55 37.8
561122.98 622779.75 37.6
561124.42 623151.76 36.6
561123.73 623188.11 36.4
561122.78 623284.40 36.0
561126.29 621172.14 37.9
561127.60 621318.72 38.3
561126.55 621777.38 39.2
561126.98 622056.75 37.6
561126.45 622160.32 37.4
561127.37 622241.26 37.1
561126.78 622271.61 37.9
561125.93 622749.89 37.7
561126.78 623428.20 36.1
561129.64 621242.41 38.7
561129.96 621399.79 37.6
561128.59 621555.50 38.5
561130.46 622390.67 38.0
561127.90 622451.33 37.8
561130.29 622512.59 37.9
561130.23 622812.72 37.3
561132.56 621668.46 38.1
561132.10 622572.59 38.8
561133.25 622846.28 37.9
561132.23 622881.35 37.2
561133.67 623116.16 36.7
561134.66 620825.16 37.6
561135.51 621044.09 38.5
561134.92 622313.44 36.9
561136.00 622345.82 37.2
561136.30 622420.66 37.6
561139.09 620792.25 38.3
561136.85 620961.51 36.8
561137.58 621364.89 38.5
561142.17 621133.52 38.5
561140.33 621493.53 38.6
561142.27 621639.85 38.3
561140.37 621720.27 39.5
561142.66 621890.57 39.0
561141.91 622207.17 37.6
561141.25 622542.15 38.2
561140.82 622702.74 37.7
561141.38 623061.96 37.1
561145.75 621269.02 39.3
561145.42 621450.78 38.3
561144.30 621750.35 38.8
561143.29 621956.78 38.5
561145.19 622134.80 37.7
561143.42 623329.09 35.6
561148.34 621081.19 38.4
561147.29 621922.59 38.5
561147.68 621991.07 38.4
561148.50 622641.46 38.3
561147.09 623012.95 37.2
561148.27 623487.55 35.7
561149.58 620762.43 36.5
561150.57 621218.82 39.3
561150.11 621298.81 39.5
561151.19 621421.12 38.5
561149.22 621526.73 38.7
561151.26 621794.58 39.5
561150.93 621833.75 38.7
561150.96 622982.01 37.0
561153.62 620895.14 36.4
561153.59 622032.70 37.8
561153.23 622370.95 37.4
561153.36 622946.12 36.8
561154.64 623178.14 36.5
561154.41 623282.11 35.4
561155.98 620862.85 38.2
561156.64 621175.61 39.0
561156.93 621341.62 39.0
561156.61 621585.92 38.8
561155.56 622740.80 37.8
561156.24 622915.41 37.0
561158.67 621387.10 36.9
561159.89 622443.43 38.0
561157.82 622475.51 38.1
561158.48 623410.98 35.8
561160.05 623445.10 35.7
561163.30 620459.18 36.3
561161.00 620514.36 36.2
561160.87 620653.63 35.1
561163.63 620925.68 37.5
561161.13 621555.86 39.1
561162.48 621663.74 39.3
561163.46 621698.74 39.3
561162.71 622286.08 37.2
561162.45 623148.31 36.7
561162.58 623250.15 35.9
561164.81 620335.59 38.0
561165.00 620989.92 37.8
561165.69 621617.77 39.3
561165.10 622857.47 37.1
561163.86 623380.07 35.7
561168.15 620955.37 38.6
561168.68 621038.21 38.3
561169.24 621117.84 39.2
561167.10 621244.32 40.1
561168.61 621471.28 38.9
561167.99 621874.20 38.5
561166.87 622089.36 37.7
561167.43 622188.21 37.4
561167.24 622240.47 37.4
561168.19 622318.16 38.0
561167.56 622572.95 37.7
561168.45 622690.15 38.2
561169.07 622825.18 37.4
561169.43 622887.29 36.8
561169.56 623034.53 37.4
561168.19 623219.67 36.1
561171.11 620428.47 37.7
561171.01 621764.98 39.2
561171.99 621970.53 39.1
561170.78 622396.12 37.8
561171.96 622542.77 37.9
561171.07 622608.22 37.9
561170.58 622793.46 38.2
561171.89 623087.98 36.8
561172.68 623118.79 36.6
561173.63 620181.98 38.3
561174.52 620212.82 37.9
561173.37 620397.83 37.3
561174.32 620805.21 37.7
561174.52 621441.26 39.2
561178.16 620549.80 37.0
561177.67 620616.53 36.6
561176.19 620700.48 35.4
561176.26 621068.69 39.2
561178.26 621152.19 39.6
561176.82 621281.39 40.3
561177.14 621318.43 39.9
561175.86 622150.55 37.9
561178.52 622353.11 37.2
561177.87 622968.62 37.1
561176.98 623002.22 37.4
561176.55 623352.84 35.7
561180.62 620151.14 39.7
561181.31 620365.35 37.6
561181.31 620836.87 37.6
561181.15 620881.26 38.1
561179.18 621201.60 37.4
561180.69 621365.08 40.3
561180.59 621409.57 40.0
561179.77 621528.86 38.7
561181.08 621798.87 38.6
561180.88 621907.40 38.1
561181.41 622003.50 38.0
561184.43 620493.56 36.5
561182.43 620767.54 35.5
561182.98 621844.54 38.6
561184.30 621939.62 38.3
561184.26 622115.08 37.4
561182.85 622509.63 38.1
561182.46 622720.69 37.8
561182.13 623320.13 35.8
561186.79 620300.52 37.8
561187.12 620737.82 36.0
561186.40 621497.10 39.7
561185.80 622264.88 37.8
561187.67 622912.13 37.0
561185.15 623284.80 35.9
561190.76 620671.09 35.9
561189.97 621737.26 38.8
561189.41 622469.12 37.7
561190.69 622753.53 38.1
561189.68 623061.70 37.0
561190.27 623198.18 36.2
561189.05 623452.97 36.4
561193.25 620245.79 38.3
561191.71 620586.90 36.3
561193.12 621095.59 39.7
561192.83 621657.50 39.1
561192.01 622666.29 38.2
561194.47 620065.02 43.8
561196.80 620123.25 40.0
561194.66 620331.59 37.6
561195.22 621625.15 39.7
561194.73 622175.45 37.7
561196.01 622226.89 38.1
561195.71 623243.33 35.9
561195.12 623403.56 36.4
561197.68 620961.41 37.6
561198.11 621047.07 39.5
561198.14 621126.47 39.7
561198.30 621340.67 41.0
561198.50 621465.21 39.2
561198.73 621595.00 39.0
561197.19 622060.52 37.7
561198.60 622306.78 37.1
561197.16 622427.22 37.6
561198.44 622620.62 38.4
561197.65 623153.20 36.3
561200.60 620196.35 38.0
561201.39 620438.31 37.1
561201.45 620635.79 37.1
561200.27 620920.10 38.3
561200.77 621696.87 39.0
561204.51 620094.15 41.0
561203.98 620407.90 37.9
561203.85 620468.89 37.5
561203.75 620792.28 38.7
561203.46 620859.74 37.6
561204.57 621224.56 39.1
561203.69 621881.85 38.0
561204.51 622091.43 37.8
561205.23 622809.27 37.8
561205.19 622877.35 37.1
561204.83 623367.28 36.4
561206.08 620275.65 38.6
561207.46 621008.62 38.4
561206.97 621307.90 41.0
561208.02 621826.96 38.3
561206.93 622397.00 37.2
561208.41 623011.34 36.8
561209.33 620515.41 37.2
561211.72 621154.29 39.4
561211.49 621193.43 39.2
561209.56 621398.65 40.6
561209.62 622541.92 37.6
561208.87 622578.27 37.7
561210.54 622695.30 37.3
561209.10 622777.61 37.6
561209.46 623112.19 36.3
561211.46 623331.84 36.7
561213.89 620148.45 37.8
561211.95 620357.08 38.3
561214.74 621366.89 41.4
561212.90 621531.72 39.6
561213.20 621561.90 39.5
561212.58 622201.10 37.5
561212.84 622944.77 37.6
561215.50 619915.22 38.7
561216.48 619962.20 39.1
561215.23 620223.98 38.3
561216.45 620305.67 38.3
561215.50 620608.92 36.7
561215.82 620697.47 36.7
561215.82 620893.56 38.1
561217.10 621276.57 38.9
561216.28 622007.27 37.6
561215.63 622725.28 37.6
561215.40 622848.84 37.5
561219.73 621502.35 39.0
561220.55 621645.86 39.5
561219.76 621782.54 38.4
561219.11 622156.22 37.4
561220.19 622498.74 37.7
561218.88 622645.40 37.7
561219.17 623072.82 36.3
561219.30 623296.02 36.6
561222.16 620043.46 40.7
561223.44 620735.43 36.9
561221.70 620768.23 37.3
561222.09 620979.65 39.2
561223.30 621675.94 38.5
561222.48 621749.92 38.1
561221.93 621975.91 38.1
561221.80 622119.21 37.7
561221.11 622975.02 37.1
561223.67 623042.54 36.4
561226.75 620660.72 37.3
561224.45 620942.94 39.0
561225.67 621441.00 39.7
561224.09 622356.98 37.2
561226.75 622605.27 37.5
561226.09 623140.74 36.5
561226.62 623196.44 36.2
561223.86 623417.67 36.3
561226.91 620114.82 37.9
561228.42 620541.17 37.0
561229.28 620572.73 37.5
561229.11 621472.17 39.3
561228.36 621612.92 39.3
561229.24 621719.97 39.0
561228.42 622432.27 37.9
561231.31 620193.07 38.3
561229.90 620483.88 37.8
561231.83 621079.95 39.8
561230.98 621117.71 40.0
561234.30 619860.85 38.1
561233.90 620000.78 39.1
561233.70 620076.27 39.0
561234.95 620251.76 38.6
561234.92 620329.85 38.5
561234.85 620860.98 38.2
561232.82 621939.65 37.8
561233.90 622278.30 37.3
561232.82 622319.44 37.1
561237.61 620284.18 38.1
561236.07 620822.92 37.7
561238.00 621019.91 39.9
561237.31 621327.39 41.4
561237.67 621834.37 38.0
561236.17 621902.38 37.7
561236.46 622084.47 38.3
561237.45 622819.61 37.4
561237.28 622910.75 37.2
561237.15 623250.41 36.3
561239.51 619941.96 38.3
561240.27 620450.65 38.3
561240.66 621231.85 38.9
561241.32 621294.97 40.8
561240.69 621400.15 41.1
561241.48 621867.02 37.8
561241.19 622054.16 37.6
561241.09 622242.41 37.4
561240.37 622680.93 36.8
561241.38 622745.69 37.8
561240.23 623365.21 36.4
561243.65 620141.13 38.5
561242.17 620361.05 39.1
561242.69 620392.18 38.6
561243.25 620624.47 37.6
561244.30 620791.40 38.3
561244.24 621051.04 39.6
561244.17 621583.78 38.8
561242.63 622788.14 37.2
561242.96 622941.65 36.6
561246.50 619910.59 37.6
561246.60 620220.20 38.7
